Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:BAKERY [J](Hourly),Electricity:Zone:DELI [J](Hourly),Electricity:Zone:DRYSTORAGE [J](Hourly),Electricity:Zone:OFFICE [J](Hourly),Electricity:Zone:PRODUCE [J](Hourly),Electricity:Zone:SALES [J](Hourly),Electricity:Plant [J](Hourly),Electricity:HVAC [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 01/04  05:00:00,349906229.9,138026415.5,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,101431637.4,117877723.5,45124890.94,45124890.94,0,0,12577284.03,32702336.3,118359147,109881147,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/04  06:00:00,334183141.3,138026415.5,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,101431637.4,116394143.4,30885382.45,30885382.45,0,0,12577284.03,32702336.3,88949795.04,80471795.04,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/04  07:00:00,496831910,220619059,19533857.52,25075154.27,11082069.42,1789769.956,20602892.34,142535315.5,124619326.1,102716325,102716325,0,0,50309136.12,67291072.6,1585475753,1564472367,16812000,4191386.295,,,,,,,,,,,,,,,,,,,
 01/04  08:00:00,518206656.5,220752184,19533857.52,25075154.27,11082069.42,1789769.956,20602892.34,142668440.5,158080247.5,102716325,102716325,0,0,50309136.12,67291072.6,1396665954,1379781954,16812000,72000,,,,,,,,,,,,,,,,,,,
 01/04  09:00:00,757946362.4,470528492.2,35874643.81,42848933.69,22285034.14,3700115.908,40731920.66,325087844,184701545.2,102716325,102716325,0,0,125772840.3,116344577.1,1236555038,1202941254,29421000,4192784.273,,,,,,,,,,,,,,,,,,,
 01/04  10:00:00,850895230.3,532208791.3,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,320655389.3,215970113.9,102716325,102716325,0,0,226391112.5,149046913.4,1076636797,1034616435,37827000,4193362.071,,,,,,,,,,,,,,,,,,,
 01/04  11:00:00,820114844.8,535124830.6,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,323571428.5,182273689.3,102716325,102716325,0,0,226391112.5,149046913.4,1002691951,960670988,37827000,4193962.829,,,,,,,,,,,,,,,,,,,
 01/04  12:00:00,932486541.2,646676169.9,49566678.85,59940730.23,33608894.17,5731037.856,64815084.96,433013743.8,182953341.9,102857029.5,102716325,140704.5431,0,226391112.5,149046913.4,924923181.1,882900255.1,37827000,4195925.957,,,,,,,,,,,,,,,,,,,
 01/04  13:00:00,863860655.4,538711981.6,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,327158579.5,222291316.4,102857357.4,102716325,141032.4153,0,226391112.5,149046913.4,889366154.8,843219106.5,37827000,8320048.311,,,,,,,,,,,,,,,,,,,
 01/04  14:00:00,853900521.3,538984240.6,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,327430838.5,212144829.1,102771451.6,102716325,55126.6285,0,226391112.5,149046913.4,870837863.9,828815141.8,37827000,4195722.069,,,,,,,,,,,,,,,,,,,
