Date/Time,DistrictCooling:Facility [J](Monthly),DistrictCooling:Facility [J](RunPeriod),DistrictHeating:Facility [J](Monthly),DistrictHeating:Facility [J](RunPeriod),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:FREEZER_1 [J](Hourly),Electricity:Zone:FREEZER_2 [J](Hourly),Electricity:Zone:FREEZER_3 [J](Hourly),Electricity:Zone:FREEZER_4 [J](Hourly),Electricity:Zone:FREEZER_5 [J](Hourly),Electricity:Zone:SUBFREEZER [J](Hourly),Electricity:Zone:COOLER_1 [J](Hourly),Electricity:Zone:COOLER_2 [J](Hourly),Electricity:Zone:COOLER_3 [J](Hourly),Electricity:Zone:DOCK [J](Hourly),Electricity:Zone:OFFICE1_LOWER [J](Hourly),Electricity:Zone:OFFICE1_UPPER [J](Hourly),Electricity:Zone:OFFICE2_LOWER [J](Hourly),Electricity:Zone:OFFICE2_UPPER [J](Hourly),Electricity:Zone: [J](Hourly),Electricity:Plant [J](Hourly),Electricity:HVAC [J](Hourly) 
 10/14  04:00:00,,,,,9210007070,7433026794,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,7375781110,1772919476,4060800
 10/14  05:00:00,,,,,10344319829,8307924527,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,8250678843,2032334502,4060800
 10/14  06:00:00,,,,,9273163066,7523905484,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,7466659800,1745196782,4060800
 10/14  07:00:00,,,,,10842525445,8679232255,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,8621986571,2159232390,4060800
 10/14  08:00:00,,,,,11406056344,8982479495,133202446.4,31502603.32,35538757.31,29873158.32,92765989.44,37477234.98,66601223.18,17123219.43,14393430.83,180503174.5,18340888.43,18340888.43,18340888.43,18340888.43,8270134703,2419516050,4060800
 10/14  09:00:00,,,,,9666497836,7650932303,133202446.4,31502603.32,35538757.31,29873158.32,92765989.44,37477234.98,66601223.18,17123219.43,14393430.83,180503174.5,18340888.43,18340888.43,18340888.43,18340888.43,6938587511,2011504733,4060800
 10/14  10:00:00,,,,,10820379209,8431109319,133202446.4,31502603.32,35538757.31,29873158.32,92765989.44,37477234.98,66601223.18,17123219.43,14393430.83,180503174.5,18340888.43,18340888.43,18340888.43,18340888.43,7718764527,2385209090,4060800
 10/14  11:00:00,,,,,10822134502,8397430040,133202446.4,31502603.32,35538757.31,29873158.32,92765989.44,37477234.98,66601223.18,17123219.43,14393430.83,180503174.5,18340888.43,18340888.43,18340888.43,18340888.43,7685085249,2420643662,4060800
 10/14  12:00:00,,,,,9245340874,7314247463,71358453.41,16876394.63,19038619.99,16003477.67,49696065.77,20077090.17,35679226.71,9173153.267,7710766.514,96698129.18,10562897.27,10562897.27,10562897.27,10562897.27,6929684496,1927032611,4060800
 10/14  13:00:00,,,,,10210528891,7987757934,50236351.2,11880981.82,13403188.47,11266448.28,34986030.3,14134271.48,25118175.6,6457899.9,5428379.626,68075482.95,7271097.303,7271097.303,7271097.303,7271097.303,7717686335,2218710158,4060800
 10/14  14:00:00,,,,,10180915470,8054948402,115695839.1,27362261.17,30867949.21,25946971.8,80573887.97,32551655.53,57847919.57,14872739.16,12501722.77,156779900.1,14868484.95,14868484.95,14868484.95,14868484.95,7440473616,2121906268,4060800
 10/14  15:00:00,,,,,9383994275,7551421528,115695839.1,27362261.17,30867949.21,25946971.8,80573887.97,32551655.53,57847919.57,14872739.16,12501722.77,156779900.1,14868484.95,14868484.95,14868484.95,14868484.95,6936946742,1828511948,4060800
 10/14  16:00:00,,,,,10391507639,8267101653,115695839.1,27362261.17,30867949.21,25946971.8,80573887.97,32551655.53,57847919.57,14872739.16,12501722.77,156779900.1,14868484.95,14868484.95,14868484.95,14868484.95,7652626867,2120345186,4060800
 10/14  17:00:00,,,,,10697487925,8450031879,115695839.1,27362261.17,30867949.21,25946971.8,80573887.97,32551655.53,57847919.57,14872739.16,12501722.77,156779900.1,14868484.95,14868484.95,14868484.95,14868484.95,7835557093,2243395246,4060800
