Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LGSTORE1 [J](Hourly),Electricity:Zone:LGSTORE2 [J](Hourly),Electricity:Zone:SMSTORE1 [J](Hourly),Electricity:Zone:SMSTORE2 [J](Hourly),Electricity:Zone:SMSTORE3 [J](Hourly),Electricity:Zone:SMSTORE4 [J](Hourly),Electricity:Zone:SMSTORE5 [J](Hourly),Electricity:Zone:SMSTORE6 [J](Hourly),Electricity:Zone:SMSTORE7 [J](Hourly),Electricity:Zone:SMSTORE8 [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 09/23  16:00:00,208012418.7,147338600.8,31932958.07,20396908.88,15966479.03,12749479.02,12749479.02,12749479.02,10198454.44,10198454.44,10198454.44,10198454.44,60673817.93,0,28346277.65,32327540.29,0,118216284.9,29122315.95,0,0,,,,,,,,,,,,,,,,,,,
 09/23  17:00:00,199326149.3,147338600.8,31932958.07,20396908.88,15966479.03,12749479.02,12749479.02,12749479.02,10198454.44,10198454.44,10198454.44,10198454.44,51987548.53,0,28346277.65,23641270.89,0,118216284.9,29122315.95,0,0,,,,,,,,,,,,,,,,,,,
 09/23  18:00:00,146520167.9,88326403.99,18819136.56,12410220.34,9409568.278,7622346.046,7622346.046,7622346.046,6205110.17,6205110.17,6205110.17,6205110.17,30629763.9,0,28346277.65,2283486.249,0,65675713.81,22650690.18,0,0,,,,,,,,,,,,,,,,,,,
 09/23  19:00:00,125276770.3,55584492.7,11722923.65,7877573.922,5861461.825,4789128.486,4789128.486,4789128.486,3938786.961,3938786.961,3938786.961,3938786.961,28346277.65,0,28346277.65,0,0,39405428.29,16179064.42,0,0,,,,,,,,,,,,,,,,,,,
 09/23  20:00:00,125276770.3,55584492.7,11722923.65,7877573.922,5861461.825,4789128.486,4789128.486,4789128.486,3938786.961,3938786.961,3938786.961,3938786.961,28346277.65,0,28346277.65,0,0,39405428.29,16179064.42,0,0,,,,,,,,,,,,,,,,,,,
 09/23  21:00:00,92534859.06,22842581.41,4626710.747,3344927.504,2313355.373,1955910.927,1955910.927,1955910.927,1672463.752,1672463.752,1672463.752,1672463.752,28346277.65,0,28346277.65,0,0,13135142.76,9707438.65,0,0,,,,,,,,,,,,,,,,,,,
 09/23  22:00:00,52767290.71,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,0,0,0,0,0,6567571.381,4853719.325,0,0,,,,,,,,,,,,,,,,,,,
 09/23  23:00:00,52767290.71,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,0,0,0,0,0,6567571.381,4853719.325,0,0,,,,,,,,,,,,,,,,,,,
 09/23  24:00:00,52767290.71,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,0,0,0,0,0,6567571.381,4853719.325,0,0,,,,,,,,,,,,,,,,,,,
 09/24  01:00:00,52767290.71,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,0,0,0,0,0,6567571.381,4853719.325,0,0,,,,,,,,,,,,,,,,,,,
 09/24  02:00:00,52767290.71,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,0,0,0,0,0,6567571.381,4853719.325,0,0,,,,,,,,,,,,,,,,,,,
 09/24  03:00:00,52767290.71,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,0,0,0,0,0,6567571.381,4853719.325,0,0,,,,,,,,,,,,,,,,,,,
 09/24  04:00:00,52767290.71,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,0,0,0,0,0,6567571.381,4853719.325,0,0,,,,,,,,,,,,,,,,,,,
 09/24  05:00:00,52767290.71,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,0,0,0,0,0,6567571.381,4853719.325,0,0,,,,,,,,,,,,,,,,,,,
 09/24  06:00:00,25203290.71,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,0,0,0,0,0,6567571.381,4853719.325,0,0,,,,,,,,,,,,,,,,,,,
 09/24  07:00:00,11421290.71,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,0,0,0,0,0,6567571.381,4853719.325,0,0,,,,,,,,,,,,,,,,,,,
 09/24  08:00:00,51188859.06,22842581.41,4626710.747,3344927.504,2313355.373,1955910.927,1955910.927,1955910.927,1672463.752,1672463.752,1672463.752,1672463.752,28346277.65,0,28346277.65,0,0,13135142.76,9707438.65,74233330.7,74233330.7,,,,,,,,,,,,,,,,,,,
 09/24  09:00:00,51188859.06,22842581.41,4626710.747,3344927.504,2313355.373,1955910.927,1955910.927,1955910.927,1672463.752,1672463.752,1672463.752,1672463.752,28346277.65,0,28346277.65,0,0,13135142.76,9707438.65,19168667.08,19168667.08,,,,,,,,,,,,,,,,,,,
 09/24  10:00:00,100301726,71955448.35,15271030.1,10143897.13,7635515.052,6205737.266,6205737.266,6205737.266,5071948.566,5071948.566,5071948.566,5071948.566,28346277.65,0,28346277.65,0,0,52540571.05,19414877.3,0,0,,,,,,,,,,,,,,,,,,,
 09/24  11:00:00,100301726,71955448.35,15271030.1,10143897.13,7635515.052,6205737.266,6205737.266,6205737.266,5071948.566,5071948.566,5071948.566,5071948.566,28346277.65,0,28346277.65,0,0,52540571.05,19414877.3,0,0,,,,,,,,,,,,,,,,,,,
 09/24  12:00:00,133043637.3,104697359.6,22367243.01,14676543.55,11183621.5,9038954.825,9038954.825,9038954.825,7338271.775,7338271.775,7338271.775,7338271.775,28346277.65,0,28346277.65,0,0,78810856.57,25886503.07,0,0,,,,,,,,,,,,,,,,,,,
 09/24  13:00:00,133043637.3,104697359.6,22367243.01,14676543.55,11183621.5,9038954.825,9038954.825,9038954.825,7338271.775,7338271.775,7338271.775,7338271.775,28346277.65,0,28346277.65,0,0,78810856.57,25886503.07,0,0,,,,,,,,,,,,,,,,,,,
 09/24  14:00:00,133043637.3,104697359.6,22367243.01,14676543.55,11183621.5,9038954.825,9038954.825,9038954.825,7338271.775,7338271.775,7338271.775,7338271.775,28346277.65,0,28346277.65,0,0,78810856.57,25886503.07,0,0,,,,,,,,,,,,,,,,,,,
 09/24  15:00:00,133043637.3,104697359.6,22367243.01,14676543.55,11183621.5,9038954.825,9038954.825,9038954.825,7338271.775,7338271.775,7338271.775,7338271.775,28346277.65,0,28346277.65,0,0,78810856.57,25886503.07,0,0,,,,,,,,,,,,,,,,,,,
 09/24  16:00:00,133043637.3,104697359.6,22367243.01,14676543.55,11183621.5,9038954.825,9038954.825,9038954.825,7338271.775,7338271.775,7338271.775,7338271.775,28346277.65,0,28346277.65,0,0,78810856.57,25886503.07,0,0,,,,,,,,,,,,,,,,,,,
 09/24  17:00:00,100301726,71955448.35,15271030.1,10143897.13,7635515.052,6205737.266,6205737.266,6205737.266,5071948.566,5071948.566,5071948.566,5071948.566,28346277.65,0,28346277.65,0,0,52540571.05,19414877.3,4025259.308,4025259.308,,,,,,,,,,,,,,,,,,,
 09/24  18:00:00,95123814.7,39213537.06,8174817.199,5611250.713,4087408.599,3372519.707,3372519.707,3372519.707,2805625.356,2805625.356,2805625.356,2805625.356,28346277.65,0,28346277.65,0,0,26270285.52,12943251.53,38022404.6,38022404.6,,,,,,,,,,,,,,,,,,,
 09/24  19:00:00,52767290.71,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,0,0,0,0,0,6567571.381,4853719.325,0,0,,,,,,,,,,,,,,,,,,,
 09/24  20:00:00,52767290.71,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,0,0,0,0,0,6567571.381,4853719.325,0,0,,,,,,,,,,,,,,,,,,,
 09/24  21:00:00,52767290.71,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,0,0,0,0,0,6567571.381,4853719.325,0,0,,,,,,,,,,,,,,,,,,,
 09/24  22:00:00,52767290.71,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,0,0,0,0,0,6567571.381,4853719.325,0,0,,,,,,,,,,,,,,,,,,,
 09/24  23:00:00,52767290.71,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,0,0,0,0,0,6567571.381,4853719.325,0,0,,,,,,,,,,,,,,,,,,,
 09/24  24:00:00,52767290.71,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,0,0,0,0,0,6567571.381,4853719.325,0,0,,,,,,,,,,,,,,,,,,,
 09/25  01:00:00,54385197.15,13039197.15,2583006.447,1942114.825,1291503.223,1112781,1112781,1112781,971057.4127,971057.4127,971057.4127,971057.4127,0,0,0,0,0,6567571.381,6471625.766,0,0,,,,,,,,,,,,,,,,,,,
 09/25  02:00:00,54385197.15,13039197.15,2583006.447,1942114.825,1291503.223,1112781,1112781,1112781,971057.4127,971057.4127,971057.4127,971057.4127,0,0,0,0,0,6567571.381,6471625.766,0,0,,,,,,,,,,,,,,,,,,,
 09/25  03:00:00,54385197.15,13039197.15,2583006.447,1942114.825,1291503.223,1112781,1112781,1112781,971057.4127,971057.4127,971057.4127,971057.4127,0,0,0,0,0,6567571.381,6471625.766,0,0,,,,,,,,,,,,,,,,,,,
 09/25  04:00:00,54385197.15,13039197.15,2583006.447,1942114.825,1291503.223,1112781,1112781,1112781,971057.4127,971057.4127,971057.4127,971057.4127,0,0,0,0,0,6567571.381,6471625.766,0,0,,,,,,,,,,,,,,,,,,,
 09/25  05:00:00,54385197.15,13039197.15,2583006.447,1942114.825,1291503.223,1112781,1112781,1112781,971057.4127,971057.4127,971057.4127,971057.4127,0,0,0,0,0,6567571.381,6471625.766,0,0,,,,,,,,,,,,,,,,,,,
 09/25  06:00:00,62058474.79,13039197.15,2583006.447,1942114.825,1291503.223,1112781,1112781,1112781,971057.4127,971057.4127,971057.4127,971057.4127,28346277.65,0,28346277.65,0,0,6567571.381,6471625.766,269917070.8,269917070.8,,,,,,,,,,,,,,,,,,,
 09/25  07:00:00,67559814.7,39213537.06,8174817.199,5611250.713,4087408.599,3372519.707,3372519.707,3372519.707,2805625.356,2805625.356,2805625.356,2805625.356,28346277.65,0,28346277.65,0,0,26270285.52,12943251.53,211950761.7,211950761.7,,,,,,,,,,,,,,,,,,,
 09/25  08:00:00,116672681.6,88326403.99,18819136.56,12410220.34,9409568.278,7622346.046,7622346.046,7622346.046,6205110.17,6205110.17,6205110.17,6205110.17,28346277.65,0,28346277.65,0,0,65675713.81,22650690.18,163037260.6,163037260.6,,,,,,,,,,,,,,,,,,,
 09/25  09:00:00,175684878.5,147338600.8,31932958.07,20396908.88,15966479.03,12749479.02,12749479.02,12749479.02,10198454.44,10198454.44,10198454.44,10198454.44,28346277.65,0,28346277.65,0,0,118216284.9,29122315.95,86208969.56,86208969.56,,,,,,,,,,,,,,,,,,,
 09/25  10:00:00,175684878.5,147338600.8,31932958.07,20396908.88,15966479.03,12749479.02,12749479.02,12749479.02,10198454.44,10198454.44,10198454.44,10198454.44,28346277.65,0,28346277.65,0,0,118216284.9,29122315.95,54607788.92,54607788.92,,,,,,,,,,,,,,,,,,,
